question_index,fix_name,fix_description,reason,tag,tag_cluster
44,Fix the diagnosis rule to correctly derive hypospadias,"Rewrite the diagnosis rule as: diagnosis(hypospadias) :- symptom(john_doe, transient_shunt), symptom(john_doe, atrial_septum), condition(patent_foramen_ovale, embryologic_failure, septal_closure), similar_conditions(patent_foramen_ovale, hypospadias).","The current diagnosis rule uses incorrect condition name (male_hernia), has a flawed unification pattern with 'male_hernia = M', and does not cleanly connect the patient symptoms to the analogous embryologic failure condition.",wrong diagnosis,4
44,Add transient_shunt as a symptom fact for john_doe,"Ensure symptom(john_doe, transient_shunt) is present as a direct fact (it already exists), and update symptom_to_condition rules to reference the correct condition name patent_foramen_ovale instead of patent_artery.",The symptom_to_condition rules reference patent_artery which does not exist after renaming; they must reference patent_foramen_ovale to remain consistent and logically valid.,wrong condition name reference,21
46,Fix invalid Prolog syntax for facts with type annotations,"Remove the invalid pseudo-type annotations 'patient/2:', 'vital_signs/3:', and 'physical_exam/2:' which are not valid Prolog syntax. Replace them with plain Prolog facts: 'vital_signs(patient(58, male), blood_pressure, 150_90).', 'vital_signs(patient(58, male), pulse, 100).', 'physical_exam(patient(58, male), heart_sounds(normal)).', 'physical_exam(patient(58, male), lungs(clear)).'",Prolog does not support type annotation syntax like 'predicate/arity:' followed by facts. These declarations cause syntax errors and prevent the program from loading.,invalid syntax annotations,26
46,Fix mismatched patient term in condition rule,"In the condition rule, change 'condition(patient(Patient), ACS)' to 'condition(Patient, ACS)' and update the symptom calls to use 'Patient' directly (e.g., 'symptom(Patient, retrosternal_chest_pain)'), since the facts use 'patient(58, male)' as the full patient term, not a nested 'patient(Patient)' wrapper.","The condition rule wraps the variable in an extra 'patient()' functor, causing a mismatch with the symptom facts which already use 'patient(58, male)' as the subject. This prevents the rule from ever unifying correctly.",wrong argument structure,16
46,Fix diagnosis rule to return a meaningful answer,"Change 'diagnosis(ECG)' to 'diagnosis(ecg)' (using an atom instead of an unbound variable), so the rule correctly states that ECG is the recommended investigation when ACS is suspected. Also update the condition call to match the fixed condition rule: 'diagnosis(ecg) :- condition(patient(58, male), _).'","Using 'ECG' as an uppercase variable means it is unbound and will unify with anything, not specifically representing the ECG investigation. Using the atom 'ecg' correctly encodes the answer. Additionally, the second argument 'ACS' in the condition call should be an anonymous variable or atom since it is not used in the diagnosis rule body.",atom vs variable confusion,9
46,Add pain_at_rest symptom fact,"Add the fact 'symptom(patient(58, male), pain_at_rest).' to represent that the chest pain started at rest, and optionally incorporate it into the condition rule as an additional criterion for ACS suspicion.","The medical problem explicitly states the pain started at rest, which is a key feature distinguishing unstable angina/NSTEMI from stable angina. This clinically important detail is missing from the facts.",missing symptom fact,12
46,Add explanation comment clarifying ECG as first-line investigation,"Add a comment or an additional rule explaining why ECG is preferred over cardiac troponin as the immediate next step: ECG is rapid, non-invasive, and can immediately identify ST-elevation MI requiring urgent reperfusion, whereas troponin results take time. Example: '% ECG is the immediate first investigation in suspected ACS to identify STEMI for urgent reperfusion therapy.'","The program currently asserts ECG as the answer but provides no reasoning distinguishing it from cardiac troponin (option C), which is also important but takes longer. Adding this clarification makes the program more complete and medically accurate.",missing inference rule,30
48,Rename condition to rampant_caries,Change all occurrences of 'acute_carious_process' to 'rampant_caries' in the condition facts and diagnosis rule.,"The medical term that specifically describes an acute, aggressive carious process involving multiple teeth and multiple surfaces simultaneously is 'rampant caries'. The current code uses the generic descriptor 'acute_carious_process' instead of the correct clinical terminology.",wrong terminology,20
48,Add specific rampant caries characteristics as symptoms/conditions,"Add additional condition facts for 'rampant_caries' such as 'affects_smooth_surfaces', 'rapid_progression', and 'involves_normally_immune_surfaces' to better represent the clinical definition.","Rampant caries is specifically characterized by its involvement of surfaces that are normally immune to decay (e.g., smooth surfaces, cervical areas), which distinguishes it from other forms of aggressive caries. These characteristics should be reflected in the knowledge base.",missing condition facts,30
48,Add a conclusion/output rule for the diagnosis,"Add a rule such as 'diagnose :- diagnosis(X), write(X), nl.' or a result fact to explicitly output the diagnosis term 'rampant_caries' when the rule is queried.",The current code lacks a top-level query or output mechanism to present the diagnosis result clearly. A concluding rule would make the program functional and return the correct term 'rampant_caries' as the answer.,missing output rule,26
49,Correct malaria type to malariae,Change all occurrences of 'malaria_vivax' to 'malaria_malariae' in both the condition facts and the diagnosis rule.,"Schizonts with 14-20 merozoites and yellowish-brown (hemozoin) pigment are characteristic of Plasmodium malariae, not Plasmodium vivax. Vivax typically shows 12-24 merozoites arranged in a rosette with golden-brown pigment, but the combination described (all stages of schizonts, 14-20 merozoites, yellowish-brown pigment) is the classic presentation of P. malariae.",wrong diagnosis,4
49,Fix condition facts structure,"Replace the malformed condition/3 facts with a proper condition/2 predicate. For example: condition(malaria_malariae, blood_smear). condition(malaria_malariae, schizont_stages). condition(malaria_malariae, merozoite_count(14-20)). condition(malaria_malariae, pigment(yellowish_brown)).",The current condition/3 facts use an inconsistent and non-functional structure mixing symptom/1 as an argument and an unrelated third argument. A clean condition/2 predicate linking the disease to each required symptom is more correct and usable.,wrong predicate arity,1
49,Fix diagnosis rule to check all symptoms,"Rewrite the diagnosis rule to verify that ALL required conditions/symptoms are present for the patient, not just one. For example: diagnosis(malaria_malariae) :- symptom(patient/1, blood_smear), symptom(patient/1, schizont_stages), symptom(patient/1, merozoite_count(14-20)), symptom(patient/1, pigment(yellowish_brown)).","The current diagnosis rule only checks that at least one condition matches, which is insufficient for a correct diagnosis. All four characteristic findings must be present simultaneously to diagnose malaria malariae.",incomplete conjunction in rule,26
49,Add rosette arrangement symptom fact,"Add symptom(patient/1, rosette_arrangement) as an additional fact and include it in the condition and diagnosis rule.",P. malariae schizonts classically arrange their merozoites in a rosette (daisy-head) pattern around central pigment. Including this symptom makes the diagnostic criteria more complete and accurate.,missing symptom fact,12
50,Rename condition from fibromas to focal_epithelial_hyperplasia_with_verruca_vulgaris,"Replace all instances of 'fibromas' with the correct diagnosis 'focal_epithelial_hyperplasia_with_verruca_vulgaris' or more specifically 'verruca_vulgaris_with_focal_epithelial_hyperplasia'. The combination of exophytic finger-like projections with hyperkeratosis on the lip and thumb, along with a shorter thumb, points to verruca vulgaris (HPV-induced warts) possibly associated with focal epithelial hyperplasia, not fibromas.","Fibromas do not typically present with finger-like projections, hyperkeratosis, and multiple site involvement in a child. The described lesions (exophytic, finger-like, hyperkeratotic growths on lip and thumb dorsum) are classic for verruca vulgaris (common warts caused by HPV). The shorter left thumb suggests underlying bony involvement or Rubinstein-Taybi syndrome, but the primary diagnosis for the described growths is verruca vulgaris.",wrong diagnosis,4
50,Add shorter_than_contralateral_thumb symptom mapping to correct condition,"The symptom 'left_thumb_shorter' should be linked to a condition that accounts for thumb hypoplasia or brachydactyly. Consider adding a separate condition or linking this symptom to a syndrome such as Rubinstein-Taybi syndrome, which is associated with broad/short thumbs and susceptibility to HPV-related lesions.",A shorter left thumb compared to the right is a distinct morphological finding that suggests a syndromic or congenital cause beyond simple warts. This symptom needs to be properly associated with the correct underlying condition or syndrome rather than generically mapped to fibromas.,missing symptom condition mapping,12
50,Add patient-to-condition matching rule,"Add a rule that links patient symptoms to conditions and produces a patient-specific diagnosis, such as: diagnose(Patient, Condition) :- symptom(Patient, exophytic_growth), symptom(Patient, finger_like_projections), symptom(Patient, hyperkeratosis), symptom(Patient, lower_lip_growth), symptom(Patient, thumb_dorsal_growth), symptom(Patient, left_thumb_shorter), condition(Condition, exophytic_growth), condition(Condition, finger_like_projections), condition(Condition, hyperkeratosis), condition(Condition, lower_lip_growth), condition(Condition, thumb_dorsal_growth), condition(Condition, left_thumb_shorter).",The current diagnosis rule only checks condition facts but does not verify that the patient actually has those symptoms. The rule should cross-reference patient symptoms with condition criteria to produce a valid patient-specific diagnosis.,missing inference rule,30
50,Fix patient identifier syntax,"Replace 'patient/1' with 'patient1' as an atom, since 'patient/1' uses the slash operator which is not standard for Prolog atom naming and may cause parsing issues.","In Prolog, 'patient/1' is interpreted as a predicate indicator (functor/arity), not a simple atom. Using 'patient1' or 'patient(1)' as a proper term avoids ambiguity and potential runtime errors.",atom syntax error,9
54,Fix patient age,"Change patient age from 5 to 55 (or an appropriate adult age such as 50-70). The fact should read: patient(55, female).","The medical problem describes a presentation consistent with pulmonary fibrosis (IPF), which typically affects middle-aged to elderly adults. A 5-year-old patient is clinically implausible for this diagnosis. The '5' is almost certainly a typo for '55' or a similar adult age.",wrong patient data,13
54,Fix symptom duration atom,"Change the atom '2_years' to a valid Prolog atom such as 'two_years' or use a structured term like duration(2, years). The fact should read: symptom(dry_cough, two_years).","In Prolog, '2_years' is not a valid atom because atoms cannot start with a digit. This will cause a syntax error. It should be written as 'two_years' or another valid representation.",invalid atom syntax,9
54,Fix condition rule syntax,"Rewrite the condition fact as a proper Prolog rule using ':-' and comma-separated goals. For example: condition(pulmonary_fibrosis) :- symptom(dry_cough, _), symptom(breathlessness, progressive), symptom(clubbing, present), symptom(cyanosis, present), symptom(bibasilar_crackles, present).","The current condition definition uses a fact with nested symptom/2 terms as arguments, which does not actually query the symptom facts. It should be a rule that calls symptom/2 as goals so Prolog can verify each symptom against the database.",wrong rule syntax,26
54,Fix diagnosis rule to match new condition arity,Update the diagnosis rule to match the new condition/1 predicate: diagnosis(X) :- condition(X).,"After rewriting condition as condition/1 (a rule with no extra arguments), the diagnosis rule must reference condition(X) with arity 1 instead of condition(X, _, _, _, _, _) with arity 6.",arity mismatch in rule,11
56,Fix condition facts direction,"Change condition(carcinoma_endometrium, endometrial_cancer) to condition(endometrial_cancer, carcinoma_endometrium) and condition(inguinal_lymph_nodes_involved, lymph_node_involvement) to condition(lymph_node_involvement, inguinal_lymph_nodes_involved), OR fix the diagnosis rule to use symptoms directly mapped to conditions correctly.","The condition facts map symptom->condition, but the diagnosis rule uses condition(C1, P) where P is the patient, which is incorrect. The arguments are swapped in usage.",swapped predicate arguments,1
56,Fix diagnosis rule to correctly retrieve conditions from symptoms,"Rewrite the diagnosis rule as: diagnosis(X) :- patient(P), symptom(P, S1), symptom(P, S2), S1 \= S2, condition(S1, C1), condition(S2, C2), stage(C1, C2, X).","The original diagnosis rule incorrectly uses condition(C1, P) treating the patient as the second argument of condition, instead of first retrieving symptoms for the patient and then mapping symptoms to conditions.",wrong argument order,16
56,Fix FIGO stage for inguinal lymph node involvement,"Change stage(endometrial_cancer, lymph_node_involvement, stage_iv) to stage(endometrial_cancer, lymph_node_involvement, stage_iii_c) or keep stage_iv depending on the correct FIGO classification. According to FIGO staging, inguinal lymph node involvement in endometrial carcinoma corresponds to Stage IIIC (pelvic or para-aortic lymph nodes) or Stage IVB (inguinal lymph nodes as distant metastasis). Update to stage_ivb to be precise.","Inguinal lymph node involvement in endometrial carcinoma is classified as Stage IVB in the FIGO staging system, as inguinal nodes are considered distant metastases. The fact should reflect stage_ivb rather than a generic stage_iv.",wrong diagnosis,4
56,Fix condition mapping arguments order,"Redefine condition facts so that the symptom is the first argument and the derived condition/label is the second: condition(carcinoma_endometrium, endometrial_cancer) and condition(inguinal_lymph_nodes_involved, lymph_node_involvement), and update the diagnosis rule accordingly to: diagnosis(X) :- patient(P), symptom(P, S1), symptom(P, S2), S1 \= S2, condition(S1, C1), condition(S2, C2), stage(C1, C2, X).","The condition facts are already in the right order (symptom -> condition label), but the diagnosis rule does not use symptom/2 to first fetch the patient's symptoms before resolving conditions, causing the rule to fail.",wrong argument order,16
59,Fix diagnosis predicate structure,"Change 'diagnosis(affected_lobe)' to 'diagnosis(Lobe)' using a proper Prolog variable, and replace 'affected_lobe = brainstem' with 'Lobe = temporal_lobe' to correctly unify the output variable with the correct lobe.","In Prolog, 'affected_lobe' is an atom, not a variable. Variables must start with uppercase. The predicate should unify a variable 'Lobe' with the result. Additionally, the answer should be 'temporal_lobe', not 'brainstem'.",wrong diagnosis,4
59,Correct the affected lobe to temporal_lobe,Replace 'brainstem' with 'temporal_lobe' as the diagnosis result in the diagnosis rule.,"The symptoms described (CN III palsy: eye directed laterally and downward, complete ptosis, pupillary dilation) combined with tentorial herniation are classically caused by uncal herniation from a temporal lobe tumor compressing CN III. The affected lobe is the temporal lobe, not the brainstem.",wrong diagnosis,4
59,Add CN III palsy condition rule,"Add a condition rule 'condition(cn3_palsy, _)' that groups the eye position, ptosis, and pupillary dilation symptoms together to represent third cranial nerve palsy, and use it in the diagnosis rule.","The combination of eye directed laterally/downward, complete ptosis, and pupillary dilation specifically indicates CN III (oculomotor nerve) palsy. Making this explicit improves the medical accuracy and reasoning chain of the Prolog program.",missing inference rule,30
59,Add eye position to CN III palsy condition,Include 'symptom(right_eye_lateral_downward)' as part of the condition for CN III palsy alongside ptosis and pupillary dilation.,The lateral and downward deviation of the eye is a key symptom of CN III palsy (due to unopposed action of CN IV and CN VI). It must be included in the condition that leads to the diagnosis.,missing condition symptom,12
59,Fix condition predicate usage,"Change condition facts from 'condition(ptosis_and_pupil_dilation, symptom(complete_ptosis_upper_eyelid))' to 'condition(cn3_palsy) :- symptom(right_eye_lateral_downward, true), symptom(complete_ptosis_upper_eyelid, true), symptom(pupillary_dilation, true).' as a proper Prolog rule.","The current condition facts do not properly query the symptom facts. Conditions should be rules that check the symptom facts using their actual predicate form 'symptom(Name, true)'.",wrong rule structure,11
62,Fix symptom fact for cyclical abdominal pain,"Change symptom(jane, abdominal_pain(cyclical)) to symptom(jane, cyclical_abdominal_pain) so it matches the atom used in the diagnosis rule.","The diagnosis rule checks for symptom(X, cyclical_abdominal_pain) but the fact uses a compound term abdominal_pain(cyclical), causing the rule to fail due to unification mismatch.",wrong fact representation,33
62,Fix symptom fact for menstrual pain worsening,"Change symptom(jane, pain_worsening(menstrual_cycle)) to symptom(jane, menstrual_pain_worsening) so it matches the atom used in the diagnosis rule.","The diagnosis rule checks for symptom(X, menstrual_pain_worsening) but the fact uses a compound term pain_worsening(menstrual_cycle), causing the rule to fail due to unification mismatch.",wrong symptom representation,12
62,Add diagnosis conclusion with result,"Modify the diagnosis rule to include a result, e.g., diagnosis(X, endometriosis), and add a next_step rule such as: next_step(X, laparoscopy) :- diagnosis(X, endometriosis). This represents that the most appropriate next step for investigating endometriosis is diagnostic laparoscopy.","The medical problem asks for the most appropriate next step in management. The current code only identifies a diagnosis but does not encode the recommended investigation (laparoscopy is the gold standard for diagnosing endometriosis), so the program does not fully solve the medical problem.",missing inference rule,30
62,Add marriage duration fact and infertility rule,"Add a fact patient(jane, marriage_duration(2)) and a rule infertility_confirmed(X) :- patient(X, female), patient(X, marriage_duration(D)), D >= 1, symptom(X, infertility). This formalizes the clinical definition of infertility (failure to conceive after 1 year of marriage).","The problem specifies the patient has been married for 2 years without conceiving, which clinically defines infertility. Encoding this rule makes the reasoning more medically accurate and explicit.",missing inference rule,30
62,Remove redundant condition checks from diagnosis rule,"Remove the condition(endometriosis, ...) checks from the body of the diagnosis rule, since those facts are static background knowledge and do not depend on the patient. The rule should only check patient-specific facts and symptoms.","Checking condition/2 facts inside the diagnosis rule is logically redundant and clutters the rule. The diagnosis should be driven by matching patient symptoms to a known condition pattern, not by re-asserting static condition properties inside the rule body.",redundant static fact checks,10
63,Correct next_investigation fact,Change next_investigation(cystoscopy) to next_investigation(retrograde_pyelography) in the diagnosis rule.,"A filling defect in the lower renal infundibulum seen on excretory urogram requires retrograde pyelography as the next investigation to better characterize the intrarenal collecting system lesion (e.g., to differentiate a tumor, blood clot, or calculus). Cystoscopy evaluates the bladder and is not the most appropriate next step for a renal infundibular filling defect.",wrong diagnosis,4
63,Add next_investigation fact as a standalone fact or properly defined predicate,"Define next_investigation/1 as a proper Prolog fact (e.g., next_investigation(retrograde_pyelography).) outside the diagnosis rule, or ensure it is used correctly as a conclusion rather than a condition inside the rule body.","In the current code, next_investigation(cystoscopy) is called inside the body of the diagnosis rule as if it were a condition to be satisfied, but it is never defined as a fact or rule elsewhere. It should either be a fact asserted separately or the rule should conclude/assert the next investigation as part of its head or output.",missing predicate definition,1
63,Restructure diagnosis rule to output the next investigation,"Modify the diagnosis rule to include the next investigation as part of the rule's conclusion, for example: diagnosis(X, next_investigation(retrograde_pyelography)) :- patient(X, boy), symptom(X, painless_gross_hematuria), condition(X, excretory_urogram), condition(X, filling_defect_lower_renal_infundibulum(1.5)).","The rule should derive and output the recommended next investigation as a result of the diagnosis logic, not call it as an unresolved goal in the body. This makes the Prolog program logically consistent and correctly models the clinical decision.",missing inference rule,30
69,Fix fracture_type rule for closed fracture,"Replace 'diagnosis(X, closed_fracture)' with a direct conclusion or assertion. The rule should conclude 'closed_fracture' rather than calling 'diagnosis/2' as a goal, since 'diagnosis' is not defined as a rule or fact elsewhere. Change the rule to: fracture_type(X, closed_fracture) :- symptom(X, xray_fracture), \+ symptom(X, wound_site).","The predicate 'diagnosis(X, closed_fracture)' is used as a goal inside the rule body but is never defined as a fact or rule, causing the predicate to fail. The fracture type should be an output argument of 'fracture_type/2' instead.",undefined predicate call,1
69,Fix fracture_type rule for open fracture,"Similarly, replace 'diagnosis(X, open_fracture)' with a direct conclusion. Change the rule to: fracture_type(X, open_fracture) :- symptom(X, xray_fracture), symptom(X, wound_site).","Same issue as above: 'diagnosis/2' is not defined, so the rule always fails. The fracture type should be an output argument of 'fracture_type/2'.",wrong predicate in head,1
69,Add missing wound_site symptom check context,"Since the problem states only an X-ray fracture is observed with no mention of an open wound, ensure that 'symptom(john_doe, wound_site)' is NOT added as a fact, so the closed fracture rule correctly fires.","The medical problem describes a fracture visible on X-ray with no indication of a skin-breaking wound, which classifies it as a closed fracture. The absence of 'wound_site' symptom must be preserved to correctly derive 'closed_fracture'.",missing fact omission,6
69,Add a query or conclusion predicate,"Add a predicate to display or assert the diagnosis result, for example: diagnose(X) :- fracture_type(X, Type), write(X), write(' has a '), write(Type), nl.","Without a way to query and display the result, the program cannot communicate the answer to the medical problem. A 'diagnose/1' predicate ties together the patient and the fracture classification.",missing output predicate,1
71,Fix circular patient definition,"Remove the rule 'patient(patient(X)) :- symptom(patient(X), ...)' as it creates a circular/recursive definition. Instead, define base patient facts directly, e.g., 'patient(john).' or use a proper base case that does not depend on symptom/1 which itself depends on patient/1.","The rule 'patient(patient(X)) :- symptom(patient(X), ...)' is circular because symptom/2 already depends on patient/1, causing infinite recursion and making the program unsolvable.",circular recursive definition,25
71,Fix nested patient term structure,Replace 'patient(patient(X))' with simply 'patient(X)' throughout the code. The double wrapping 'patient(patient(X))' creates an incorrect term structure that does not match the intended representation of a patient.,"Using 'patient(patient(X))' creates a nested functor that is inconsistent with how patients are referenced elsewhere, leading to unification failures and incorrect logic.",redundant nested functor wrapping,27
71,Add maintains_functioning as a symptom fact,"Add a symptom fact 'symptom(patient(X), maintains_functioning) :- patient(X).' to represent that the patient maintains daily functioning, since the diagnosis rule references this symptom but it is never asserted as a symptom fact.","The condition rule checks 'symptom(patient(X), maintains_functioning)' but there is no corresponding symptom fact for 'maintains_functioning', so the diagnosis can never be derived.",missing inference rule,30
71,Fix diagnosis rule to return specific condition,"Replace 'diagnosis(D) :- condition(D, _).' with a more specific rule such as 'diagnosis(D) :- patient(X), symptom(X, non_bizarre_delusion), symptom(X, maintains_functioning), condition(D, non_bizarre_delusions), condition(D, maintains_functioning).' to properly link patient symptoms to the diagnosis.","The current diagnosis rule simply returns any condition that has any attribute, without verifying that a patient actually exhibits the required symptoms, making it trivially true and medically meaningless.",overly general diagnosis rule,29
71,Add no_impact_on_daily_life as a symptom and link it to diagnosis,"Add 'symptom(patient(X), no_impact_on_daily_life) :- patient(X).' and include this symptom in the diagnosis rule to ensure that the absence of daily life impact is properly checked as part of the delusional disorder diagnosis.","The condition 'no_impact_on_daily_life' is defined as a key characteristic of delusional disorder but is never checked in the diagnosis rule, omitting a critical diagnostic criterion from the problem description.",missing inference rule,30
72,Correct the primary diagnosis fact,"Replace condition(bleeding_umbilical_stump, umbilical_cord_infection) with condition(bleeding_umbilical_stump, hemorrhagic_disease_of_newborn). Umbilical cord infection (omphalitis) does not typically cause profuse bleeding; profuse bleeding from the umbilical stump in a newborn is the hallmark of Hemorrhagic Disease of the Newborn (Vitamin K deficiency).",Umbilical cord infection is not the correct diagnosis for profuse bleeding from the umbilical stump in a newborn. The correct diagnosis is Hemorrhagic Disease of the Newborn caused by Vitamin K deficiency.,wrong diagnosis,4
72,Correct the secondary diagnosis fact,"Replace condition(profuse_bleeding, coagulation_disorder) with condition(profuse_bleeding, hemorrhagic_disease_of_newborn). Both symptoms (profuse_bleeding and bleeding_umbilical_stump) should point to the same unified diagnosis of hemorrhagic_disease_of_newborn.","Coagulation disorder is too generic and does not represent the most probable specific diagnosis. In a newborn context, profuse bleeding from the umbilical stump specifically points to Hemorrhagic Disease of the Newborn.",wrong diagnosis,4
72,Add a newborn-specific context fact,"Add a fact symptom(patient/1, newborn) and a rule that prioritizes hemorrhagic_disease_of_newborn when the patient is a newborn presenting with both bleeding_umbilical_stump and profuse_bleeding, e.g.: most_probable_diagnosis(X) :- symptom(patient/1, newborn), symptom(patient/1, bleeding_umbilical_stump), symptom(patient/1, profuse_bleeding), X = hemorrhagic_disease_of_newborn.",The program lacks the newborn context which is critical for differential diagnosis. The age of the patient (newborn) is a key factor that distinguishes Hemorrhagic Disease of the Newborn from other coagulation disorders.,missing patient context fact,0
72,Add a most_probable_diagnosis rule,"Add a dedicated rule most_probable_diagnosis(X) that selects the diagnosis supported by the highest number of symptoms, replacing the generic diagnosis(X) rule. This ensures the program returns the single most probable diagnosis rather than multiple possible ones.","The current diagnosis(X) rule can return multiple diagnoses without ranking them by probability. The problem specifically asks for the MOST PROBABLE diagnosis, requiring a mechanism to select the best-supported conclusion.",missing inference rule,30
73,Fix patient/1 predicate call,"Change 'patient(Patient)' to 'patient(Patient, _)' in the diagnosis rule to match the defined fact 'patient(john_doe, 4)' which has arity 2.","The fact 'patient(john_doe, 4)' is defined with two arguments (name and age), but the diagnosis rule calls 'patient(Patient)' with only one argument, causing the predicate to fail due to arity mismatch.",wrong predicate arity,1
73,Add family history fact,"Add the fact 'family_history(john_doe, autoimmune_conditions).' to represent the family history of autoimmune conditions mentioned in the problem.","The problem explicitly mentions a family history of autoimmune conditions as part of the clinical context, but no corresponding fact exists in the program to represent this information.",missing fact,6
73,Fix condition predicate for autoimmune family history,"Change 'condition(autoimmune_family_history, autoimmune_condition).' to use a family_history predicate instead, such as adding a rule: 'has_family_history(Patient, autoimmune_conditions) :- family_history(Patient, autoimmune_conditions).'",The condition fact for autoimmune_family_history is disconnected from the patient and symptom model; it should be linked to the patient through a proper family_history predicate to be usable in reasoning.,wrong predicate structure,1
73,Replace genetic_testing_for_dmd with dystrophin_gene_mutation_test,Change 'recommend_test(genetic_testing_for_dmd)' to 'recommend_test(dystrophin_gene_mutation_test)' or more specifically 'recommend_test(dmd_gene_deletion_duplication_analysis)' to reflect the specific confirmatory test for DMD.,The confirmatory diagnostic test for Duchenne Muscular Dystrophy is specifically a genetic test targeting mutations (deletions/duplications) in the DMD gene encoding dystrophin. The term 'genetic_testing_for_dmd' is too vague and should reflect the specific test recommended clinically.,imprecise terminology,20
73,Add serum creatine kinase test recommendation,Add a rule 'recommend_test(serum_creatine_kinase) :- diagnosis(duchenne_muscular_dystrophy).' as an initial screening test before genetic confirmation.,"Clinically, elevated serum creatine kinase (CK) is a key initial diagnostic finding in DMD and should be represented as a recommended test alongside genetic testing to accurately model the diagnostic workup.",missing inference rule,30
73,Add age constraint to diagnosis rule,"Add an age constraint in the diagnosis rule: 'patient(Patient, Age), Age =< 6' to reflect that DMD typically presents in early childhood.","The problem specifies a 4-year-old patient, and DMD characteristically presents between ages 2-6. Including an age constraint makes the diagnostic rule more clinically accurate and specific.",missing age constraint,24
77,Add paracortex biopsy finding to mononucleosis condition,"Add biopsy(atypical_lymphocytes_in_paracortex) to the mononucleosis condition characteristics list, since the biopsy finding of atypical lymphocytes in the paracortical areas is a hallmark of mononucleosis, not Hodgkin's disease.","The biopsy showing atypical lymphocytes in the paracortical (T-cell) areas is a key distinguishing feature of infectious mononucleosis. This finding should be associated with mononucleosis, not Hodgkin's disease.",missing inference rule,30
77,Remove biopsy findings from Hodgkin's disease condition,"Remove biopsy(expanded_lymphoid_follicles), biopsy(preserved_architecture), and blood(atypical_lymphocytes) from the hodgkins_disease condition, and replace them with the correct Hodgkin's hallmark findings such as biopsy(reed_sternberg_cells).","Hodgkin's Disease is characterized by Reed-Sternberg cells on biopsy, not expanded lymphoid follicles with preserved architecture and atypical lymphocytes in the paracortex. The current facts incorrectly associate Hodgkin's findings with mononucleosis presentation.",wrong diagnosis,4
77,Add all relevant symptoms and biopsy findings to mononucleosis condition,"Update the mononucleosis condition to include all relevant findings: symptom(fatigue), symptom(recurrent_fever), symptom(enlarged_cervical_lymph_nodes), blood(atypical_lymphocytes), biopsy(expanded_lymphoid_follicles), biopsy(preserved_architecture), and biopsy(atypical_lymphocytes_in_paracortex).","Infectious mononucleosis presents with all these findings: fatigue, recurrent fever, enlarged cervical lymph nodes, atypical lymphocytes in blood, and on biopsy shows expanded follicles with preserved architecture and paracortical atypical lymphocytes. The condition definition must be complete to allow correct diagnosis.",incomplete condition definition,30
77,Update diagnosis rule to include paracortex biopsy finding,"Add a diagnosis rule that checks for biopsy(atypical_lymphocytes_in_paracortex) as a key distinguishing criterion, and ensure the final diagnosis resolves to mononucleosis when all the described findings are present.",The paracortical location of atypical lymphocytes is the most specific finding pointing to mononucleosis over other conditions. The diagnosis rule should use this finding as a decisive factor to correctly identify mononucleosis as the answer.,missing inference rule,30
77,Add a best_diagnosis predicate to select the most specific match,"Add a best_diagnosis/1 predicate that selects the condition matching the greatest number of the patient's findings, ensuring mononucleosis is preferred over hodgkins_disease given the full clinical picture.",Currently both conditions could satisfy a diagnosis rule. A scoring or specificity mechanism is needed to ensure the most appropriate diagnosis (mononucleosis) is returned when all findings are considered together.,missing inference rule,30
79,Change diagnosis from meningitis to cryptococcal meningitis,Replace 'diagnosis(meningitis)' with 'diagnosis(cryptococcal_meningitis)' in the diagnosis rule head.,"The clinical presentation of an immunocompromised lung transplant patient with oral thrush, subacute onset of headache, confusion, and low-grade fever is classic for Cryptococcus neoformans meningitis, not generic bacterial meningitis. The specific diagnosis should reflect the fungal etiology.",wrong diagnosis,4
79,Change CSF aspect from cloudy to clear or slightly turbid,"Replace 'csf_aspect(patient(66, male), cloudy)' with 'csf_aspect(patient(66, male), clear_or_slightly_turbid)'.","In cryptococcal meningitis, the CSF is typically clear or only slightly turbid (sometimes described as 'India ink positive'), unlike bacterial meningitis where the CSF is frankly cloudy/purulent. The cloudy appearance is characteristic of bacterial meningitis with high neutrophil counts.",wrong clinical fact,0
79,Change CSF cell count from high leukocytes to low lymphocytic pleocytosis,"Replace 'csf_cell_count(patient(66, male), high_leukocytes)' with 'csf_cell_count(patient(66, male), low_lymphocytic_pleocytosis)'.","Cryptococcal meningitis characteristically shows a minimal to mild pleocytosis (typically 20-200 cells/mm³) with a lymphocytic predominance, not a high leukocyte count as seen in bacterial meningitis. In severely immunocompromised patients, the cell count can even be near normal.",wrong clinical parameter value,24
79,Add CSF India ink and cryptococcal antigen findings,"Add facts: 'csf_india_ink(patient(66, male), positive)' and 'csf_cryptococcal_antigen(patient(66, male), positive)'.",Key diagnostic findings in cryptococcal meningitis include a positive India ink preparation (visualizing encapsulated yeast) and a positive cryptococcal antigen (CrAg) test in the CSF. These are hallmark findings that confirm the diagnosis and should be represented in the program.,missing diagnostic facts,4
